KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
GOOGL,2026-04-09 15:35:00,4.344722222222224,0.27,0.3,0.28500000000000003,0.3,0.27,22.0366,4,318.489990234375,316.20001220703125,315.9894307454427,0.18964987814824957,-0.6092219529435525,0.07831250474970679,0.20668749525029323,0.0011852555155702717,-3.155942502463179e-05,-0.0033495147879343823,0.20668749525029323
GOOGL,2026-04-09 15:40:00,4.309166666666666,0.3,0.33,0.3175,0.33,0.3,129.2926,8,318.489990234375,316.57501220703125,316.3413391113281,0.18704906281742956,-0.681629448353217,0.11416201953764116,0.20333798046235885,0.0027915803312110994,0.0011852555155702717,-0.028340840152789426,0.20333798046235885
GOOGL,2026-04-09 15:45:00,4.171944444444446,0.4,0.48,0.4366666666666667,0.48,0.4,320.0,6,318.489990234375,317.4599914550781,316.9566650390625,0.1923652151441056,-0.1502890173410405,0.2616695263570973,0.17499714030956942,0.0007871908926310737,0.0027915803312110994,0.0123018794282167,0.17499714030956942
GOOGL,2026-04-09 15:50:00,4.089722222222221,0.44,0.5,0.5,0.52,0.44,1035.8307,17,318.489990234375,317.7099914550781,317.4249979654948,0.19199634131482604,-0.22519284478179669,0.3127009802622139,0.18729901973778612,0.0005034886839415712,0.0007871908926310737,0.016044445319439105,0.18729901973778612
GOOGL,2026-04-09 15:55:00,4.00138888888889,0.52,0.53,0.5417073170731708,0.58,0.52,2391.3514,41,318.489990234375,317.8699951171875,317.6649983723958,0.18023231380081628,-0.44159735802568256,0.33836385201594554,0.20334346505722523,0.0028273263333968342,0.0005034886839415712,-0.14325914474240198,0.20334346505722523
GOOGL,2026-04-09 16:00:00,3.9408333333333303,0.53,0.69,0.634,0.69,0.53,76.4749,10,318.489990234375,318.7699890136719,318.26666259765625,0.18779776116350555,-0.17460120444254557,0.5739156796851768,0.06008432031482325,-0.00012542126241932655,0.0028273263333968342,0.08602552130637908,0.06008432031482325
GOOGL,2026-04-09 16:05:00,3.838055555555556,0.68,0.75,0.71,0.75,0.68,20.3342,6,318.489990234375,318.7300109863281,318.4871114095052,0.1893848912960384,1.2010767753412153,0.5638901583787976,0.14610984162120233,-9.412414924772191e-05,-0.00012542126241932655,-0.006050150717446079,0.14610984162120233
GOOGL,2026-04-09 16:10:00,3.7652777777777793,0.73,0.68,0.6963157894736842,0.73,0.65,278.5308,19,318.489990234375,318.70001220703125,318.43833414713544,0.19058667946500238,-0.1256919368579439,0.556256098569928,0.14005969090375625,0.0006586830741174961,-9.412414924772191e-05,-0.050655111379310114,0.14005969090375625
GOOGL,2026-04-09 16:15:00,3.6947222222222216,0.69,0.72,0.705,0.72,0.69,12.449300000000001,4,318.489990234375,318.9100036621094,318.69333902994794,0.1833545110724842,-0.06966647543144222,0.6155954204755538,0.08940457952444614,0.000814975467190015,0.0006586830741174961,-0.06792420183795933,0.08940457952444614
GOOGL,2026-04-09 16:20:00,3.5891666666666637,0.72,0.7,0.7139624999999999,0.74,0.7,309.1911,8,318.489990234375,319.1700134277344,318.8672383626302,0.1752913332622803,-0.2504888813444238,0.6924821223135131,0.021480377686486807,-0.0009718292279848138,0.000814975467190015,0.10124359889677947,0.021480377686486807
